tests/notnil/tnotnil.nim C                                  ( 0.28152323 secs)
tests/notnil/tnotnil1.nim C                                 ( 0.66752863 secs)
tests/notnil/tnotnil2.nim C                                 ( 0.59979439 secs)
tests/notnil/tnotnil3.nim C                                 ( 0.28782296 secs)
tests/notnil/tnotnil_in_generic.nim C                       ( 0.30365658 secs)
tests/notnil/tnotnil_in_objconstr.nim C                     ( 0.31181574 secs)
tests/objects/tillegal_recursion.nim C                      ( 0.29087615 secs)
tests/objects/tobj_asgn_dont_slice.nim C                    ( 0.68438768 secs)
tests/objects/tobjcov.nim C                                 ( 0.61723614 secs)
tests/parser/tinvcolonlocation1.nim C                       ( 0.30441785 secs)
tests/parser/tinvcolonlocation2.nim C                       ( 0.33175421 secs)
tests/parser/tinvcolonlocation3.nim C                       ( 0.31980538 secs)
tests/parser/tinvwhen.nim C                                 ( 0.29680371 secs)
tests/parser/tpostexprblocks.nim C                          ( 0.64053011 secs)
tests/parser/ttypemodifiers.nim C                           ( 0.63147068 secs)
tests/parser/twhen_in_enum.nim C                            ( 0.33799314 secs)
tests/parser/twrongcmdsyntax.nim C                          ( 0.28379488 secs)
tests/errmsgs/t10376.nim C                                  ( 0.28824615 secs)
tests/errmsgs/t10489_a.nim C                                ( 0.31564975 secs)
tests/errmsgs/t10489_b.nim C                                ( 0.30371761 secs)
tests/errmsgs/t10594.nim C                                  ( 0.28776908 secs)
tests/errmsgs/t1154.nim C                                   ( 0.32379317 secs)
tests/errmsgs/t12844.nim C                                  ( 0.26358128 secs)
tests/errmsgs/t4756.nim C                                   ( 0.31958938 secs)
tests/errmsgs/t5167_1.nim C                                 ( 0.33879662 secs)
tests/errmsgs/t5167_2.nim C                                 ( 0.31671548 secs)
tests/errmsgs/t5167_3.nim C                                 ( 0.34867191 secs)
tests/errmsgs/t5167_4.nim C                                 ( 0.28774500 secs)
tests/errmsgs/t5167_5.nim C                                 ( 0.28538442 secs)
tests/errmsgs/t5870.nim C                                   ( 0.31985712 secs)
tests/errmsgs/t6281.nim C                                   ( 0.27975202 secs)
tests/errmsgs/t6483.nim C                                   ( 0.30608726 secs)
tests/errmsgs/t8339.nim C                                   ( 0.37555814 secs)
tests/errmsgs/t8434.nim C                                   ( 0.33605576 secs)
tests/errmsgs/t8610.nim C                                   ( 0.31115508 secs)
tests/errmsgs/t8794.nim C                                   ( 0.27682543 secs)
tests/errmsgs/t9768.nim C                                   ( 0.31179810 secs)
tests/errmsgs/t9908_01.nim C                                ( 0.33175707 secs)
tests/errmsgs/t9908_02.nim C                                ( 0.31980753 secs)
tests/errmsgs/tcall_with_default_arg.nim C                  ( 0.58372974 secs)
tests/errmsgs/tcannot_capture_builtin.nim C                 ( 0.29599762 secs)
tests/errmsgs/tcant_overload_by_return_type.nim C           ( 0.31572270 secs)
tests/errmsgs/tconceptconstraint.nim C                      ( 0.35968351 secs)
tests/errmsgs/tdetailed_position.nim C                      ( 0.27561712 secs)
tests/errmsgs/tdont_show_system.nim C                       ( 0.29725027 secs)
tests/errmsgs/temptysetparam.nim C                          ( 0.36084223 secs)
tests/errmsgs/tgcsafety.nim C                               ( 1.09824944 secs)
tests/errmsgs/tgeneral_excepts.nim C                        ( 0.32765698 secs)
tests/errmsgs/tgenericconstraint.nim C                      ( 0.28781581 secs)
tests/errmsgs/tinteger_literals.nim C                       ( 0.29966021 secs)
tests/errmsgs/tinvalidinout.nim C                           ( 0.37559104 secs)
tests/errmsgs/tmake_tuple_visible.nim C                     ( 0.29974270 secs)
tests/errmsgs/tmultiple_finally.nim C                       ( 0.29181457 secs)
tests/errmsgs/tnested_empty_seq.nim C                       ( 0.30032825 secs)
tests/errmsgs/tnested_generic_instantiation.nim C           ( 0.70234728 secs)
